name,phone,state,city,rooms,agoda_waste,roi_potential
Thought Boutique Hotel,60177515122,Selangor,Shah Alam,Unknown (Boutique),7560,10800
"W Studio Resort Suites, Bandar Sunway",60124747760,Selangor,Subang Jaya,Unknown (Boutique),7560,10800
Petaling Jaya Homestay near Sunway by Arthomer,60102250143,Selangor,Subang Jaya,Unknown (Boutique),7560,10800
"Lavender Inn, USJ",60108807211,Selangor,Subang Jaya,Unknown (Boutique),7560,10800
Meet2Stay Guest House,60122177345,Selangor,Klang,Unknown (Boutique),7560,10800
Indah Homestay,60135050089,Selangor,Klang,Unknown (Boutique),7560,10800
Surya Boutique Hotel Klang,601136177500,Selangor,Klang,Unknown (Boutique),7560,10800
"Sepang Homestay, Taman Intan Baiduri",60193877986,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Homestay Insyirah KLIA,60192757927,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
D'Qari Homestay KLIA Sepang,60132042641,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Homestay KLIA Sepang,601155502686,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Homestay Drara,60163443111,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Wok Amin Homestay,601116591998,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Sepang Ceria Homestay,601120979928,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Rizqullah Homestay KLIA Sepang,60122205315,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Zanas Villa D'KLIA,60133524555,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
HOMESTAY NAYEL,60193730950,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
D' Totok Homestay (KLIA),60183132240,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Homestay Cikgu Adnan KLIA,60122248044,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Anaqi Village Homestay,60199344225,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
AiAi Homestay KLIA Murah,60139666700,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Kak Lah Guest House Sepang,60199246962,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
KLIA Homestay Abadi,60173340695,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
S8 Boutique Hotel,60187883855,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Collection O KLIA Formerly Bary Inn,60174191233,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Cheong Fatt Tze - The Qing Suites,60123788006,Penang,George Town,Unknown (Boutique),7560,10800
The Magazine Boutique Hotel,60107683887,Penang,George Town,Unknown (Boutique),7560,10800
The Century Boutique Hotel (George Town),60134281937,Penang,George Town,Unknown (Boutique),7560,10800
Georgetown Inn by Sky Hive,60182999210,Penang,George Town,Unknown (Boutique),7560,10800
Roomies Suites,601139366153,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Amal Inn Budget Hotel,60149696740,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Value Homestay,60162454768,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
YOU & I HOMESTAY,60125536337,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Shalini's Guest House,60124073822,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Haqime Guest House at Batu Ferringhi,601155842800,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Inn Residence 18,60103700103,Penang,Butterworth,Unknown (Boutique),7560,10800
Bayu Marina Residences,60137499555,Johor,Johor Bahru,Unknown (Boutique),7560,10800
"8 Days Boutique Hotel @ Mount Austin, JB",60167529888,Johor,Johor Bahru,Unknown (Boutique),7560,10800
I am Jazz Boutique Hotel,60106660510,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Galaxy Homestay,60167217011,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Havona Boutique Hotel @ Mount Austin,60167231231,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Marvelous Homestay Near Legoland,60147741808,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Iskandar Residence @ JB City Home,601162623616,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Dbayu Homestay,60127528554,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Trinidad Suites Johor,60162550351,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Legoland Happy Homestay,60197111811,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Kak Mah Homestay,60137147647,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Zabarjad Homestay,60197888095,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Dillenia Homestay Legoland Johor Bahru,601128653629,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Jutaka Homestay Nusajaya,60127764568,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Anpesona homestay legoland johor,601132076801,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Teega Suites,60127917851,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Almas Suites by Subhome,60127917851,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Batu Pahat Taman Flora Homestay,60177624174,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Murni Homestay Batu Pahat,60137701958,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Sri Peserai Homestay,60133882190,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Kamar Tamu Private Homestay,60167197070,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Sarah's Homestay,60137793007,Johor,Batu Pahat,Unknown (Boutique),7560,10800
SALHAH SELESA HOMESTAY,60166868742,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Sri Gading Homestay,60108413972,Johor,Batu Pahat,Unknown (Boutique),7560,10800
B&S Boutique Hotel,60108015155,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Bedok Homestay,60127132262,Johor,Batu Pahat,Unknown (Boutique),7560,10800
HOMESTAY DE NEST BATU PAHAT,60177273805,Johor,Batu Pahat,Unknown (Boutique),7560,10800
"Homestay 29, Jalan Mustaffa",60177273805,Johor,Batu Pahat,Unknown (Boutique),7560,10800
三春客棧 Sam Choon Homestay Batu Pahat,60187819006,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Golden Homestay Batu Pahat,60127111359,Johor,Batu Pahat,Unknown (Boutique),7560,10800
HomeStay Rm38,60167990942,Johor,Batu Pahat,Unknown (Boutique),7560,10800
18 Homestay,60127129412,Johor,Batu Pahat,Unknown (Boutique),7560,10800
CASA WARM homestay | 暖居民宿 Batu Pahat,60127201488,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Aurora Homestay @ Batu Pahat (Deluxe) 阳光民宿(柔佛州峇株巴辖）),60127018538,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Casa Homestay Batu Pahat,60182580993,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Hotel 57 Batu Pahat (Fifty Seven Inn),601128675757,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Budget Hotel Evergreen @ Batu Pahat ( Homestay ),60125050911,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Sabak Awor Resort 山芭湖渡假村,60126060775,Johor,Muar,Unknown (Boutique),7560,10800
G-City Homestay,60199977959,Johor,Muar,Unknown (Boutique),7560,10800
Homestay 1060th Guest House Muar,60109221060,Johor,Muar,Unknown (Boutique),7560,10800
Hafsah Homestay Muar,601160717341,Johor,Muar,Unknown (Boutique),7560,10800
Cempaka Homestay Muar 21,60125388024,Johor,Muar,Unknown (Boutique),7560,10800
Homestay Muar Murah,60126416121,Johor,Muar,Unknown (Boutique),7560,10800
Nurhaneem Homestay,60176074420,Johor,Muar,Unknown (Boutique),7560,10800
WARNI VILLA 麻坡彩虹民宿,60123654433,Johor,Muar,Unknown (Boutique),7560,10800
Family Homestay,60176545788,Johor,Muar,Unknown (Boutique),7560,10800
Srinika Homestay Al-Manar,60196227727,Johor,Muar,Unknown (Boutique),7560,10800
Khayla Homestay,60176259661,Johor,Muar,Unknown (Boutique),7560,10800
Srinika Homestay Al-Hidayah,60196227727,Johor,Muar,Unknown (Boutique),7560,10800
Homestay Warni Villa 45,60123654433,Johor,Muar,Unknown (Boutique),7560,10800
OYO 91034 VILLA NO 197,60123654433,Johor,Muar,Unknown (Boutique),7560,10800
Moli Homestay,60176323676,Johor,Muar,Unknown (Boutique),7560,10800
Myhomestay Muar,60133948282,Johor,Muar,Unknown (Boutique),7560,10800
Ms. Jah Homestay Villa,60126437204,Johor,Muar,Unknown (Boutique),7560,10800
Homestay Muar A Casa D Azirul,60176573717,Johor,Muar,Unknown (Boutique),7560,10800
Homestay Muar Al-Raudah,60197530772,Johor,Muar,Unknown (Boutique),7560,10800
"Style STAR INN, 富利旅店",60127502588,Johor,Muar,Unknown (Boutique),7560,10800
Ruby Hotel Homestay Muar,60127110236,Johor,Muar,Unknown (Boutique),7560,10800
Muari Boutique Hotel,60183983198,Johor,Muar,Unknown (Boutique),7560,10800
Grandma Homestay,601162668859,Johor,Muar,Unknown (Boutique),7560,10800
MUO Resort,60176789167,Johor,Muar,Unknown (Boutique),7560,10800
The Wood Boutique Hotel,60103967678,Johor,Muar,Unknown (Boutique),7560,10800
TANJUNG VILLA,60126794789,Johor,Muar,Unknown (Boutique),7560,10800
Lighthouse Hotel & Shortstay,60122275526,Selangor,Kuala Lumpur,25,4725,6750
Museum Hotel Penang,601188881601,Penang,George Town,29,5480,7830
Macalister 288,601120632183,Penang,George Town,36,6803,9719
The Grand Campbell Hotel Kuala Lumpur,60136154547,Kuala Lumpur,Kuala Lumpur,153,28917,41310
Royal Park Hotel @ Uniten,60128102339,Selangor,Petaling Jaya,170,32129,45900
Accelerator Resources Sdn Bhd,60123083521,Selangor,Petaling Jaya,Unknown (Boutique),7560,10800
Ada Cosmetics International Sdn Bhd,60123456614,Selangor,Kuala Lumpur,Unknown (Boutique),7560,10800
Arkemi Sdn Bhd,60102200135,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Athos International Sdn Bhd,60173022388,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Blue Ocean Focus Sdn Bhd,60165229628,Selangor,Kuala Lumpur,Unknown (Boutique),7560,10800
Dd Techniche Sdn. Bhd.,60174798630,Selangor,Petaling Jaya,Unknown (Boutique),7560,10800
Fjk Food Service Malaysia Sdn. Bhd. (Fujimak Malaysia),60143131988,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Flora Food Malaysia Sdn Bhd,60124312143,Selangor,Petaling Jaya,Unknown (Boutique),7560,10800
Future Dream Academy Sdn. Bhd.,60123397532,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Gd Media Sdn Bhd,60127380989,Selangor,Kuala Lumpur,Unknown (Boutique),7560,10800
Greenseed Engineering Sdn Bhd,601165633411,Selangor,Petaling Jaya,Unknown (Boutique),7560,10800
Hm Hospitality Supplies Sdn Bhd,60129200918,Selangor,Kuala Lumpur,Unknown (Boutique),7560,10800
I Chemy Sdn Bhd,60123638184,Selangor,Petaling Jaya,Unknown (Boutique),7560,10800
Jotun Paints (Malaysia) Sdn Bhd,60122808330,Selangor,Petaling Jaya,Unknown (Boutique),7560,10800
Laundry Care Sdn Bhd,60197053333,Selangor,Petaling Jaya,Unknown (Boutique),7560,10800
Led Rental Sdn Bhd,60192178943,Selangor,Kuala Lumpur,Unknown (Boutique),7560,10800
Lfx Solutions Sdn Bhd,60164263337,Penang,George Town,Unknown (Boutique),7560,10800
One World Marketing Sdn Bhd,60122991331,Selangor,Kuala Lumpur,Unknown (Boutique),7560,10800
Propulsion Pools Sdn Bhd,60123892817,Selangor,Petaling Jaya,Unknown (Boutique),7560,10800
Puresolutions Sdn Bhd,60128068845,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Sab Management & Resources Sdn Bhd,60163540100,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Staah Sdn Bhd,60122787422,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Streamvision Sdn Bhd,60139049501,Selangor,Petaling Jaya,Unknown (Boutique),7560,10800
Success Beacon Sdn. Bhd.,60193291159,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
The Sleeping Solutions (Hops By Q-Tron),60124123464,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Topcut Tailoring & Design,60122313511,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
The Bodhi Lodge,60166416996,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Swiss Hotel Kuala Lumpur - City Centre,60177100530,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Hotel Olympic Malaysia,601111064888,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
"Kingston Hotel 8 @ Kuala Lumpur, Bukit Bintang (Formerly known as Metropol Hotel)",60183242288,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Easy Hotel KL Sentral,60162154500,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Seeds Hotel Bukit Bintang,601118647009,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Astar Hotel Bukit Bintang,601111106665,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
SS GREY HOTEL BUKIT BINTANG,60128600257,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Hotel Damai Kuala Lumpur,601118513288,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
"Kingston Hotel 3 @ Kuala Lumpur (Formerly known as Swing and Pillows @ Jalan Baba, Pudu)",60182852288,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
The Bed Bukit Bintang - Capsule Hotel,60166183584,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),7560,10800
Axon Bukit Bintang,60192396855,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),7560,10800
"Swing & Pillows @ Imbi, Bukit Bintang",60183767288,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),7560,10800
Kingston Hotel 6 @ Changkat Bukit Bintang,60182972288,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),7560,10800
AQ Hotel Bukit Bintang,601121104443,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),7560,10800
"Kingston Hotel 01 @ Bukit Bintang, Kuala Lumpur",60182652288,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),7560,10800
"Upstairs Downstairs Co-Living @ Bukit Bintang, KL",60102264293,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),7560,10800
Green Town Hotel Bukit Bintang,60138909030,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),7560,10800
Alia Premier KLCC,60172753124,Kuala Lumpur,KLCC,Unknown (Boutique),7560,10800
"Kingston Hotel 12 @ Jalan Raja Laut, KL (Formerly known as Club Dolphin Hotel)",60185732288,Kuala Lumpur,KLCC,Unknown (Boutique),7560,10800
"The Bed, KLCC",60163553584,Kuala Lumpur,KLCC,Unknown (Boutique),7560,10800
Hotel 28 Kuala Lumpur,601111802828,Kuala Lumpur,Chow Kit,Unknown (Boutique),7560,10800
Seeds Hotel Premier Chow Kit Kuala Lumpur,601135385690,Kuala Lumpur,Chow Kit,Unknown (Boutique),7560,10800
LAZDANA HOTEL KUALA LUMPUR,60194731111,Kuala Lumpur,Chow Kit,Unknown (Boutique),7560,10800
Seeds Hotel Chow Kit Kuala Lumpur,60122890814,Kuala Lumpur,Chow Kit,Unknown (Boutique),7560,10800
M1 Hotel,60126913468,Kuala Lumpur,Chow Kit,Unknown (Boutique),7560,10800
Hotel 28 Rapid,601111202828,Kuala Lumpur,Chow Kit,Unknown (Boutique),7560,10800
Mozu Hotel Sri Hartamas,60168224833,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
Monkey Mansion Jalan Ipoh,60182809744,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
Suwara Hotel Kepong KL,60127216391,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
KNN condominium,601139795329,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
Tofura Guesthouse,60139871312,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
MLUX Hotel,60123333185,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
OYO Rooms KLPAC,60104011393,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
Aston Kiara 3,60162455833,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
Zetter Suite Arte Mont Kiara,60125496588,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
Arcoris Mont Kiara by MK HOME,60134103153,Kuala Lumpur,Mont Kiara,Unknown (Boutique),7560,10800
We are Closed,60127353102,Selangor,Petaling Jaya,Unknown (Boutique),7560,10800
Orange Business Hotel,601158589122,Selangor,Petaling Jaya,Unknown (Boutique),7560,10800
Swing & Pillows @ i-City Shah Alam (Powered by iBilik),60182868288,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Seeds Hotel Shah Alam Seksyen 7 I-City,60178813439,Selangor,Shah Alam,Unknown (Boutique),7560,10800
SALAM HOTEL & Best Hotel Shah Alam,601110850015,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Pool Lagoon Subang,60193281015,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Setia Convention@ Comfy Room 3,60122886301,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Damen Subang by KL Short Stay,60123993131,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Hotel makmur,60109091544,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Cosy private suite 2 Room 591 Shah Alam,60193460619,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Hotel June,60122899922,Selangor,Shah Alam,Unknown (Boutique),7560,10800
NORA Staycation,60193830137,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Shafila Guesthouse,60176178343,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Salham Guesthouse,60132979113,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Bayou Lodge,60173491955,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Balinese Heaven!,60126651359,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Wonderland Private Soho at Subang Jaya,60173026589,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Swing and Pillows @ Shah Alam,60184042288,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Smile Hotel Shah Alam Icity,60177539103,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Laman Green Hotel @ Seksyen 7 | Shah Alam,601159914486,Selangor,Shah Alam,Unknown (Boutique),7560,10800
Green Hotel Puchong,60122196803,Selangor,Subang Jaya,Unknown (Boutique),7560,10800
"Infinity Pool KL View, PJ",60193721391,Selangor,Subang Jaya,Unknown (Boutique),7560,10800
Le Pavilion By Rina Properties,60122042556,Selangor,Subang Jaya,Unknown (Boutique),7560,10800
Sunway Geo City View by EbrelParadise EPGYB,60122868854,Selangor,Subang Jaya,Unknown (Boutique),7560,10800
5 Star Luxury Hostel @ Bandar Sunway,60133533496,Selangor,Subang Jaya,Unknown (Boutique),7560,10800
Blue Lagoon Hotel @ Bandar Sunway,60173278112,Selangor,Subang Jaya,Unknown (Boutique),7560,10800
I Go Hotel,60125408640,Selangor,Subang Jaya,Unknown (Boutique),7560,10800
Hotel Centum,60183128826,Selangor,Klang,Unknown (Boutique),7560,10800
MKH Boulevard Apartment -Room Studio,60125624142,Selangor,Klang,Unknown (Boutique),7560,10800
NIDA Rooms Klang Chi Liung Mewah,60199344898,Selangor,Klang,Unknown (Boutique),7560,10800
클랑하우스,60102104622,Selangor,Klang,Unknown (Boutique),7560,10800
朴乐空间2.0 × 三十七度,60193944122,Selangor,Klang,Unknown (Boutique),7560,10800
CHILLCAMP,60128470805,Selangor,Klang,Unknown (Boutique),7560,10800
Aqmiha,60162250567,Selangor,Klang,Unknown (Boutique),7560,10800
Seeds Hotel Klang Meru,601155089481,Selangor,Klang,Unknown (Boutique),7560,10800
Seeds Hotel Klang Bayu Perdana,60172994126,Selangor,Klang,Unknown (Boutique),7560,10800
M S Hotel Tengku Kelana KTM Klang,60196745383,Selangor,Klang,Unknown (Boutique),7560,10800
HOTEL SUNJOY9 @ KLANG,60173049942,Selangor,Klang,Unknown (Boutique),7560,10800
BR Parklands Hotel,60138161032,Selangor,Klang,Unknown (Boutique),7560,10800
FREE SHUTTLE GUESTHOUSE@KLIA,60172309168,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Anjung Apartment & Breakfast,60123991041,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Al Safer Travel & Tour,60177712320,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
"Kepler Club Kuala Lumpur Airport - Sleep, Shower, Lounge - KLIA T1 (Landside)",601112421134,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
"Kepler Club Kuala Lumpur Airport - Sleep, Shower, Lounge - Satellite Building (Airside)",60147415950,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Bangau De Capsule Hotel - Downtown KLIA,60125662271,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Chalet Desa Anggerik,60123545443,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
GLG KLIA Transit House,60123036203,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
"Swing & Pillows @ Sky Star KLIA1 & KLIA2, Sepang (Previously known as Sky Star Hotel)",60139111883,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
"Swing & Pillows @ Salak Tinggi Business Park, Sepang",60182335288,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
"M Design Hotel Klia,Sepang",601154266113,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
THE CROWN HOTEL @ KLIA,60123428008,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
"The youniQ Hotel, Kuala Lumpur International Airport",60195144200,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Casa Hotel KLIA 1,60102100844,Selangor,Sepang KLIA,Unknown (Boutique),7560,10800
Museum Hotel,601188881601,Penang,George Town,Unknown (Boutique),7560,10800
Day & Night Guesthouse,60164457208,Penang,George Town,Unknown (Boutique),7560,10800
322 Chulia,60123295597,Penang,George Town,Unknown (Boutique),7560,10800
House of Journey Hostel & Guesthouse,60124401399,Penang,George Town,Unknown (Boutique),7560,10800
HomeAway Townhouse,60134898628,Penang,George Town,Unknown (Boutique),7560,10800
Armenian Suite,60122993118,Penang,George Town,Unknown (Boutique),7560,10800
Apple 1 Hotel Gurney,60192332660,Penang,George Town,Unknown (Boutique),7560,10800
Chulia Mansion Hotel,601131477511,Penang,George Town,Unknown (Boutique),7560,10800
Moon Hotel Penang,601126436995,Penang,George Town,Unknown (Boutique),7560,10800
Forum Hotel Penang 富伦酒店,601135857296,Penang,George Town,Unknown (Boutique),7560,10800
"Fifth Avenue Hotel, Penang",601127399843,Penang,George Town,Unknown (Boutique),7560,10800
Jean CleanComfy Apt Near Beach,60164108572,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Penang Tg. Bungah Apt. Stay,60149091070,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
An Urban Leisure Hub,60163227771,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Batu Ferringhi Delight Apartment,60122994932,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Serene Dream Home by Vhost,60164261465,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Gurney Couple stay GVP2,60122003527,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Little Cottage,60174716608,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
OYO 299 Station Budget Hotel,60104011393,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Love All Serve All @ Batu Ferringhi,60164939215,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
CC's Beach House,60164561895,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
L Ferringhi Hotel,60163891898,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Seaview@Voyage De'cassa,60122436376,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Shamrock Beach 21,60124887705,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Cozy SOHO Near Gurney,60124950877,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
ARIA GURNEY @ The Landmark,60108851228,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Small Boss Hotel,60164599412,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
LA Ferringhi Home,60172326860,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Delima Apartment,60175549681,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
