Hotel Name,State,City,Rooms,WhatsApp Number,Email,Website,ICP Score,Est. Monthly Agoda Waste (RM),Nocturn Recovery Potential (RM),Source
Scarletz Suites KLCC by MyKey Global,Kuala Lumpur,KLCC,Unknown (Boutique),+60186600155,,https://www.mykeyglobal.com/,5,7560,10800,Google Places
Golden Suites at Platinum KLCC Kuala Lumpur,Kuala Lumpur,KLCC,Unknown (Boutique),+601128517010,,https://hotels.cloudbeds.com/reservation/E1HVfl,5,7560,10800,Google Places
STAR SUITES KLCC,Kuala Lumpur,KLCC,Unknown (Boutique),+60177530017,,http://www.starsuites.my/,5,7560,10800,Google Places
Signature Apartment at Mercu Summer Suites KLCC,Kuala Lumpur,KLCC,Unknown (Boutique),+60199338834,,https://www.agoda.com/signature-apartment-at-mercu-summer-suite-klcc-h25217292/hotel/kuala-lumpur-my.html?cid=1844104&ds=aZQ9ZQpaPO3ZW%2Bch,5,7560,10800,Google Places
Redstone Boutique Hotel Kuala Lumpur,Kuala Lumpur,Chow Kit,Unknown (Boutique),+60174057771,,,5,7560,10800,Google Places
RH Suites,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60166136763,,https://book-directonline.com/properties/rhsuitesdirect,5,7560,10800,Google Places
Azlan's Eco-Village Homestay & Foodscape,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60196221184,,,5,7560,10800,Google Places
Societe Suites Hartamas by Bamboo Hospitality,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60105862118,,https://www.bamboohospitality.com.my/,5,7560,10800,Google Places
Arte Mont Kiara by Dream'Inn,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60198118918,,https://www.dreaminnco.com/,5,7560,10800,Google Places
City Residence Shah Alam Hotel,Selangor,Shah Alam,Unknown (Boutique),+60193716790,,,5,7560,10800,Google Places
I City Residency Homestay,Selangor,Shah Alam,Unknown (Boutique),+60123410101,,,5,7560,10800,Google Places
Durra Homestay,Selangor,Shah Alam,Unknown (Boutique),+60132868612,,,5,7560,10800,Google Places
Sentosa Villa Hotel,Selangor,Shah Alam,Unknown (Boutique),+60122692655,,,5,7560,10800,Google Places
"Taja's Homestay accomodation in Shah Alam, Selangor",Selangor,Shah Alam,Unknown (Boutique),+60127221519,,http://tajashomestay.wordpress.com/about/,5,7560,10800,Google Places
Sritel Boutique Hotel,Selangor,Shah Alam,Unknown (Boutique),+601111028106,,,5,7560,10800,Google Places
Thought Boutique Hotel,Selangor,Shah Alam,Unknown (Boutique),+60177515122,,,5,7560,10800,Google Places
"W Studio Resort Suites, Bandar Sunway",Selangor,Subang Jaya,Unknown (Boutique),+60124747760,,,5,7560,10800,Google Places
Petaling Jaya Homestay near Sunway by Arthomer,Selangor,Subang Jaya,Unknown (Boutique),+60102250143,,,5,7560,10800,Google Places
"Lavender Inn, USJ",Selangor,Subang Jaya,Unknown (Boutique),+60108807211,,https://lavenderinn.com.my/usj/,5,7560,10800,Google Places
Meet2Stay Guest House,Selangor,Klang,Unknown (Boutique),+60122177345,,,5,7560,10800,Google Places
Indah Homestay,Selangor,Klang,Unknown (Boutique),+60135050089,,,5,7560,10800,Google Places
Surya Boutique Hotel Klang,Selangor,Klang,Unknown (Boutique),+601136177500,,,5,7560,10800,Google Places
"Sepang Homestay, Taman Intan Baiduri",Selangor,Sepang KLIA,Unknown (Boutique),+60193877986,,,5,7560,10800,Google Places
Homestay Insyirah KLIA,Selangor,Sepang KLIA,Unknown (Boutique),+60192757927,,http://homestayinsyirahklia.blogspot.my/,5,7560,10800,Google Places
D'Qari Homestay KLIA Sepang,Selangor,Sepang KLIA,Unknown (Boutique),+60132042641,,http://dqarihomestay.blogspot.my/,5,7560,10800,Google Places
Homestay KLIA Sepang,Selangor,Sepang KLIA,Unknown (Boutique),+601155502686,,http://homestaykliasepang.blogspot.my/,5,7560,10800,Google Places
Homestay Drara,Selangor,Sepang KLIA,Unknown (Boutique),+60163443111,,,5,7560,10800,Google Places
Wok Amin Homestay,Selangor,Sepang KLIA,Unknown (Boutique),+601116591998,,,5,7560,10800,Google Places
Sepang Ceria Homestay,Selangor,Sepang KLIA,Unknown (Boutique),+601120979928,,,5,7560,10800,Google Places
Rizqullah Homestay KLIA Sepang,Selangor,Sepang KLIA,Unknown (Boutique),+60122205315,,https://www.facebook.com/Rizqullah-Homestay-KLIA-Sepang-1063111387058752/,5,7560,10800,Google Places
Zanas Villa D'KLIA,Selangor,Sepang KLIA,Unknown (Boutique),+60133524555,,,5,7560,10800,Google Places
HOMESTAY NAYEL,Selangor,Sepang KLIA,Unknown (Boutique),+60193730950,,,5,7560,10800,Google Places
D' Totok Homestay (KLIA),Selangor,Sepang KLIA,Unknown (Boutique),+60183132240,,https://www.facebook.com/D-Totok-HouseStay-109003918425729/,5,7560,10800,Google Places
Homestay Cikgu Adnan KLIA,Selangor,Sepang KLIA,Unknown (Boutique),+60122248044,,,5,7560,10800,Google Places
Anaqi Village Homestay,Selangor,Sepang KLIA,Unknown (Boutique),+60199344225,,https://www.instagram.com/anaqivillage/,5,7560,10800,Google Places
AiAi Homestay KLIA Murah,Selangor,Sepang KLIA,Unknown (Boutique),+60139666700,,https://mbasic.facebook.com/aiaihomestaykliamurah/,5,7560,10800,Google Places
Kak Lah Guest House Sepang,Selangor,Sepang KLIA,Unknown (Boutique),+60199246962,,,5,7560,10800,Google Places
KLIA Homestay Abadi,Selangor,Sepang KLIA,Unknown (Boutique),+60173340695,,,5,7560,10800,Google Places
S8 Boutique Hotel,Selangor,Sepang KLIA,Unknown (Boutique),+60187883855,,https://s8boutiquehotel.com/,5,7560,10800,Google Places
Collection O KLIA Formerly Bary Inn,Selangor,Sepang KLIA,Unknown (Boutique),+60174191233,,http://www.baryinn-klia.com/,5,7560,10800,Google Places
Cheong Fatt Tze - The Qing Suites,Penang,George Town,Unknown (Boutique),+60123788006,,https://www.cheongfatttzemansion.com/the-qing-suites/,5,7560,10800,Google Places
The Magazine Boutique Hotel,Penang,George Town,Unknown (Boutique),+60107683887,,,5,7560,10800,Google Places
The Century Boutique Hotel (George Town),Penang,George Town,Unknown (Boutique),+60134281937,,https://www.thecenturyhotels.com/,5,7560,10800,Google Places
Georgetown Inn by Sky Hive,Penang,George Town,Unknown (Boutique),+60182999210,,http://www.skyhivevacay.com/,5,7560,10800,Google Places
Roomies Suites,Penang,Batu Ferringhi,Unknown (Boutique),+601139366153,,,5,7560,10800,Google Places
Amal Inn Budget Hotel,Penang,Batu Ferringhi,Unknown (Boutique),+60149696740,,,5,7560,10800,Google Places
Value Homestay,Penang,Batu Ferringhi,Unknown (Boutique),+60162454768,,,5,7560,10800,Google Places
YOU & I HOMESTAY,Penang,Batu Ferringhi,Unknown (Boutique),+60125536337,,http://www.youandipenang.blogspot.com/,5,7560,10800,Google Places
Shalini's Guest House,Penang,Batu Ferringhi,Unknown (Boutique),+60124073822,,,5,7560,10800,Google Places
Haqime Guest House at Batu Ferringhi,Penang,Batu Ferringhi,Unknown (Boutique),+601155842800,,https://www.facebook.com/haqimeguesthouse/,5,7560,10800,Google Places
Inn Residence 18,Penang,Butterworth,Unknown (Boutique),+60103700103,,https://www.facebook.com/InnResidence18/,5,7560,10800,Google Places
Bayu Marina Residences,Johor,Johor Bahru,Unknown (Boutique),+60137499555,,,5,7560,10800,Google Places
"8 Days Boutique Hotel @ Mount Austin, JB",Johor,Johor Bahru,Unknown (Boutique),+60167529888,,,5,7560,10800,Google Places
I am Jazz Boutique Hotel,Johor,Johor Bahru,Unknown (Boutique),+60106660510,,https://www.facebook.com/iamjazzhotel/,5,7560,10800,Google Places
Galaxy Homestay,Johor,Johor Bahru,Unknown (Boutique),+60167217011,,,5,7560,10800,Google Places
Havona Boutique Hotel @ Mount Austin,Johor,Johor Bahru,Unknown (Boutique),+60167231231,,https://havonahotel.com/reservation/room_types?prop_id=1545,5,7560,10800,Google Places
Marvelous Homestay Near Legoland,Johor,Iskandar Puteri,Unknown (Boutique),+60147741808,,http://www.airbnb.com/p/sogenruby,5,7560,10800,Google Places
Iskandar Residence @ JB City Home,Johor,Iskandar Puteri,Unknown (Boutique),+601162623616,,http://www.jbcityhomestay.com/,5,7560,10800,Google Places
Dbayu Homestay,Johor,Iskandar Puteri,Unknown (Boutique),+60127528554,,,5,7560,10800,Google Places
Trinidad Suites Johor,Johor,Iskandar Puteri,Unknown (Boutique),+60162550351,,http://www.trinidadsuitesjohor.com/,5,7560,10800,Google Places
Legoland Happy Homestay,Johor,Iskandar Puteri,Unknown (Boutique),+60197111811,,http://www.facebook.com/legolandhappyhomestay,5,7560,10800,Google Places
Kak Mah Homestay,Johor,Iskandar Puteri,Unknown (Boutique),+60137147647,,http://kakmahhomestay.blogspot.my/,5,7560,10800,Google Places
Zabarjad Homestay,Johor,Iskandar Puteri,Unknown (Boutique),+60197888095,,,5,7560,10800,Google Places
Dillenia Homestay Legoland Johor Bahru,Johor,Iskandar Puteri,Unknown (Boutique),+601128653629,,https://homestaylegolandjohorbahru.com/blog,5,7560,10800,Google Places
Jutaka Homestay Nusajaya,Johor,Iskandar Puteri,Unknown (Boutique),+60127764568,,,5,7560,10800,Google Places
Anpesona homestay legoland johor,Johor,Iskandar Puteri,Unknown (Boutique),+601132076801,,http://anpesonahomestaylegolandjohor.blogspot.my/,5,7560,10800,Google Places
Teega Suites,Johor,Iskandar Puteri,Unknown (Boutique),+60127917851,,,5,7560,10800,Google Places
Almas Suites by Subhome,Johor,Iskandar Puteri,Unknown (Boutique),+60127917851,,https://www.subhome.my/almassuites,5,7560,10800,Google Places
Batu Pahat Taman Flora Homestay,Johor,Batu Pahat,Unknown (Boutique),+60177624174,,https://www.facebook.com/bpflorahome,5,7560,10800,Google Places
Murni Homestay Batu Pahat,Johor,Batu Pahat,Unknown (Boutique),+60137701958,,,5,7560,10800,Google Places
Sri Peserai Homestay,Johor,Batu Pahat,Unknown (Boutique),+60133882190,,http://sripeseraihomestay.blogspot.com/,5,7560,10800,Google Places
Kamar Tamu Private Homestay,Johor,Batu Pahat,Unknown (Boutique),+60167197070,,http://kamartamublog.wordpress.com/,5,7560,10800,Google Places
Sarah's Homestay,Johor,Batu Pahat,Unknown (Boutique),+60137793007,,http://www.facebook.com/sarahhomestay/,5,7560,10800,Google Places
SALHAH SELESA HOMESTAY,Johor,Batu Pahat,Unknown (Boutique),+60166868742,,https://www.facebook.com/pages/Salhah-Selesa-Homestay/530604533736037,5,7560,10800,Google Places
Sri Gading Homestay,Johor,Batu Pahat,Unknown (Boutique),+60108413972,,,5,7560,10800,Google Places
B&S Boutique Hotel,Johor,Batu Pahat,Unknown (Boutique),+60108015155,,http://www.bnshotel.com/,5,7560,10800,Google Places
Bedok Homestay,Johor,Batu Pahat,Unknown (Boutique),+60127132262,,,5,7560,10800,Google Places
HOMESTAY DE NEST BATU PAHAT,Johor,Batu Pahat,Unknown (Boutique),+60177273805,,https://www.booking.com/hotel/my/de-nest-house.en-gb.html?label=gen173nr-1BCAsooQFCDWRlLW5lc3QtaG91c2VIM1gEaKEBiAEBmAEJuAEYyAEM2AEB6AEBiAIBqAIEuALi7bDBBsACAdICJDEwNTE2NTc3LTgyNDgtNDZiZS1hODQ4LWUxNWMyNjBlZmRjY9gCBeACAQ&sid=97cd1bbe048897c3e288b7374a99c1d5&age=0&dist=0&group_adults=4&group_children=1&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,5,7560,10800,Google Places
"Homestay 29, Jalan Mustaffa",Johor,Batu Pahat,Unknown (Boutique),+60177273805,,,5,7560,10800,Google Places
三春客棧 Sam Choon Homestay Batu Pahat,Johor,Batu Pahat,Unknown (Boutique),+60187819006,,https://www.facebook.com/profile.php?id=61563474770170&mibextid=LQQJ4d,5,7560,10800,Google Places
Golden Homestay Batu Pahat,Johor,Batu Pahat,Unknown (Boutique),+60127111359,,https://goldenhomestaybatupahat.wordpress.com/,5,7560,10800,Google Places
HomeStay Rm38,Johor,Batu Pahat,Unknown (Boutique),+60167990942,,,5,7560,10800,Google Places
18 Homestay,Johor,Batu Pahat,Unknown (Boutique),+60127129412,,,5,7560,10800,Google Places
CASA WARM homestay | 暖居民宿 Batu Pahat,Johor,Batu Pahat,Unknown (Boutique),+60127201488,,,5,7560,10800,Google Places
Aurora Homestay @ Batu Pahat (Deluxe) 阳光民宿(柔佛州峇株巴辖）),Johor,Batu Pahat,Unknown (Boutique),+60127018538,,https://www.kakicuti.com.my/,5,7560,10800,Google Places
Casa Homestay Batu Pahat,Johor,Batu Pahat,Unknown (Boutique),+60182580993,,https://linktr.ee/casahomestaybatupahat,5,7560,10800,Google Places
Hotel 57 Batu Pahat (Fifty Seven Inn),Johor,Batu Pahat,Unknown (Boutique),+601128675757,,https://www.facebook.com/Hotel57,5,7560,10800,Google Places
Budget Hotel Evergreen @ Batu Pahat ( Homestay ),Johor,Batu Pahat,Unknown (Boutique),+60125050911,,https://www.facebook.com/Evergreenhotel57,5,7560,10800,Google Places
Sabak Awor Resort 山芭湖渡假村,Johor,Muar,Unknown (Boutique),+60126060775,,https://m.facebook.com/pages/Sabak-Awor-ResortMuar/248328808511978,5,7560,10800,Google Places
G-City Homestay,Johor,Muar,Unknown (Boutique),+60199977959,,,5,7560,10800,Google Places
Homestay 1060th Guest House Muar,Johor,Muar,Unknown (Boutique),+60109221060,,https://m.facebook.com/pages/category/Hotel-Resort/1060th-Guest-House-MUAR-1843493169019152/,5,7560,10800,Google Places
Hafsah Homestay Muar,Johor,Muar,Unknown (Boutique),+601160717341,,http://hafsahomestay.blogspot.my/,5,7560,10800,Google Places
Cempaka Homestay Muar 21,Johor,Muar,Unknown (Boutique),+60125388024,,http://cempakahomestaymuar.wordpress.com/,5,7560,10800,Google Places
Homestay Muar Murah,Johor,Muar,Unknown (Boutique),+60126416121,,,5,7560,10800,Google Places
Nurhaneem Homestay,Johor,Muar,Unknown (Boutique),+60176074420,,,5,7560,10800,Google Places
WARNI VILLA 麻坡彩虹民宿,Johor,Muar,Unknown (Boutique),+60123654433,,https://www.facebook.com/Homestay-Muar-Warni-Villa-508092479267548/?fref=ts,5,7560,10800,Google Places
Family Homestay,Johor,Muar,Unknown (Boutique),+60176545788,,,5,7560,10800,Google Places
Srinika Homestay Al-Manar,Johor,Muar,Unknown (Boutique),+60196227727,,http://www.homestaysrinika.com/,5,7560,10800,Google Places
Khayla Homestay,Johor,Muar,Unknown (Boutique),+60176259661,,https://www.facebook.com/khaylahomestaymuar?ref=hl,5,7560,10800,Google Places
Srinika Homestay Al-Hidayah,Johor,Muar,Unknown (Boutique),+60196227727,,http://www.homestaysrinika.com/,5,7560,10800,Google Places
Homestay Warni Villa 45,Johor,Muar,Unknown (Boutique),+60123654433,,https://www.facebook.com/Homestay-Muar-Warni-Villa-508092479267548/?fref=ts,5,7560,10800,Google Places
OYO 91034 VILLA NO 197,Johor,Muar,Unknown (Boutique),+60123654433,,https://www.oyorooms.com/247646/,5,7560,10800,Google Places
Moli Homestay,Johor,Muar,Unknown (Boutique),+60176323676,,http://www.muarbakrihomestay.blogspot.com/,5,7560,10800,Google Places
Myhomestay Muar,Johor,Muar,Unknown (Boutique),+60133948282,,http://www.homestaymuar.com/,5,7560,10800,Google Places
Ms. Jah Homestay Villa,Johor,Muar,Unknown (Boutique),+60126437204,,,5,7560,10800,Google Places
Homestay Muar A Casa D Azirul,Johor,Muar,Unknown (Boutique),+60176573717,,,5,7560,10800,Google Places
Homestay Muar Al-Raudah,Johor,Muar,Unknown (Boutique),+60197530772,,,5,7560,10800,Google Places
"Style STAR INN, 富利旅店",Johor,Muar,Unknown (Boutique),+60127502588,,https://wa.me/0127502588,5,7560,10800,Google Places
Ruby Hotel Homestay Muar,Johor,Muar,Unknown (Boutique),+60127110236,,,5,7560,10800,Google Places
Muari Boutique Hotel,Johor,Muar,Unknown (Boutique),+60183983198,,,5,7560,10800,Google Places
Grandma Homestay,Johor,Muar,Unknown (Boutique),+601162668859,,https://www.facebook.com/profile.php?id=61570226624490&mibextid=ZbWKwL,5,7560,10800,Google Places
MUO Resort,Johor,Muar,Unknown (Boutique),+60176789167,,http://www.muoboutique.com/,5,7560,10800,Google Places
The Wood Boutique Hotel,Johor,Muar,Unknown (Boutique),+60103967678,,https://m.facebook.com/pages/category/Hotel-Resort/The-wood-boutique-hotel-2005342542847062/,5,7560,10800,Google Places
TANJUNG VILLA,Johor,Muar,Unknown (Boutique),+60126794789,,,5,7560,10800,Google Places
Lighthouse Hotel & Shortstay,Selangor,Kuala Lumpur,25,+60122275526,appleforeverpj@gmail.com,http://www.lighthousehotel.com.my/,2,4725,6750,MAH Directory
Museum Hotel Penang,Penang,George Town,29,+601188881601,info@museumhotel.my,https://museumhotel.my/,2,5480,7830,MAH Directory
Macalister 288,Penang,George Town,36,+601120632183,admin@qanova.com.my,,2,6803,9719,MAH Directory
The Grand Campbell Hotel Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,153,+60136154547,faizal@grandcampbellhotel.com,https://thegrandcampbell.com-kualalumpur.com,2,28917,41310,MAH Directory
Royal Park Hotel @ Uniten,Selangor,Petaling Jaya,170,+60128102339,info@royalparkhotel.com.my,https://www.royalparkhotel.com.my/,2,32129,45900,MAH Directory
Accelerator Resources Sdn Bhd,Selangor,Petaling Jaya,Unknown (Boutique),+60123083521,judyxcerator@gmail.com,https://www.xcerator.com/,2,7560,10800,MAH Directory
Ada Cosmetics International Sdn Bhd,Selangor,Kuala Lumpur,Unknown (Boutique),+60123456614,alex.chor@ada-cosmetics.com,https://ada-cosmetics.com/,2,7560,10800,MAH Directory
Arkemi Sdn Bhd,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60102200135,kenette@glenvex.com,https://www.glenvex.com,2,7560,10800,MAH Directory
Athos International Sdn Bhd,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60173022388,johnson.yang@chinaathos.com,http://www.chinaathos.com/,2,7560,10800,MAH Directory
Blue Ocean Focus Sdn Bhd,Selangor,Kuala Lumpur,Unknown (Boutique),+60165229628,kelvin.ong@intrixgroup.com,https://www.intrixgroup.com/,2,7560,10800,MAH Directory
Dd Techniche Sdn. Bhd.,Selangor,Petaling Jaya,Unknown (Boutique),+60174798630,sales@ddtechniche.com,https://bwt-service.com.my/,2,7560,10800,MAH Directory
Fjk Food Service Malaysia Sdn. Bhd. (Fujimak Malaysia),Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60143131988,y_mukoyama@fujimak.co.jp,https://fujimak.biz/,2,7560,10800,MAH Directory
Flora Food Malaysia Sdn Bhd,Selangor,Petaling Jaya,Unknown (Boutique),+60124312143,ian.lau@florafg.com,https://www.florafoodgroup.com/,2,7560,10800,MAH Directory
Future Dream Academy Sdn. Bhd.,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60123397532,fda.accts@gmail.com,https://www.futuredreamacademy.edu.my/,2,7560,10800,MAH Directory
Gd Media Sdn Bhd,Selangor,Kuala Lumpur,Unknown (Boutique),+60127380989,sales@gdmedia.tv,https://gdmedia.tv/,2,7560,10800,MAH Directory
Greenseed Engineering Sdn Bhd,Selangor,Petaling Jaya,Unknown (Boutique),+601165633411,admin@greenseed.com.my,http://www.greenseedwaterheater.com.my/,2,7560,10800,MAH Directory
Hm Hospitality Supplies Sdn Bhd,Selangor,Kuala Lumpur,Unknown (Boutique),+60129200918,hm.hospitality.supplies@gmail.com,https://hmhotelsupplies.com/,2,7560,10800,MAH Directory
I Chemy Sdn Bhd,Selangor,Petaling Jaya,Unknown (Boutique),+60123638184,alanichemy@gmail.com,https://www.ichemysol.com/,2,7560,10800,MAH Directory
Jotun Paints (Malaysia) Sdn Bhd,Selangor,Petaling Jaya,Unknown (Boutique),+60122808330,yvonne.choong@jotun.com.my,,2,7560,10800,MAH Directory
Laundry Care Sdn Bhd,Selangor,Petaling Jaya,Unknown (Boutique),+60197053333,kenyuen@laundrycare.com.my,https://www.laundrycare.com.my/,2,7560,10800,MAH Directory
Led Rental Sdn Bhd,Selangor,Kuala Lumpur,Unknown (Boutique),+60192178943,bkaccdept@yahoo.com,https://www.ledscreenmalaysia.com.my/,2,7560,10800,MAH Directory
Lfx Solutions Sdn Bhd,Penang,George Town,Unknown (Boutique),+60164263337,lfxsolutionssb@gmail.com,,2,7560,10800,MAH Directory
One World Marketing Sdn Bhd,Selangor,Kuala Lumpur,Unknown (Boutique),+60122991331,boonsian.chia@oneworld-solutions.com,,2,7560,10800,MAH Directory
Propulsion Pools Sdn Bhd,Selangor,Petaling Jaya,Unknown (Boutique),+60123892817,may@propulsionpools.com,https://www.propulsionpools.com,2,7560,10800,MAH Directory
Puresolutions Sdn Bhd,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60128068845,info@puresolutions.asia,https://puresolutions.asia/,2,7560,10800,MAH Directory
Sab Management & Resources Sdn Bhd,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60163540100,admin@sabmanagementt.com,https://thesabgroup.com,2,7560,10800,MAH Directory
Staah Sdn Bhd,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60122787422,michelle@staah.co.nz,https://www.staah.com/,2,7560,10800,MAH Directory
Streamvision Sdn Bhd,Selangor,Petaling Jaya,Unknown (Boutique),+60139049501,farihin@streamvision.com.au,,2,7560,10800,MAH Directory
Success Beacon Sdn. Bhd.,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60193291159,emmilia@successbeacon.com.my,https://kyouth.successbeacon.com.my/,2,7560,10800,MAH Directory
The Sleeping Solutions (Hops By Q-Tron),Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60124123464,nikchenglim@yahoo.com,,2,7560,10800,MAH Directory
Topcut Tailoring & Design,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60122313511,topcuttailoring2018@gmail.com,,2,7560,10800,MAH Directory
The Bodhi Lodge,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60166416996,,,2,7560,10800,Google Places
Swiss Hotel Kuala Lumpur - City Centre,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60177100530,,http://www.swisshotelkl.com/,2,7560,10800,Google Places
Hotel Olympic Malaysia,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+601111064888,,https://my.findhotel.club/joytrip/?route=hotel&p=hotelolympicmalaysia,2,7560,10800,Google Places
"Kingston Hotel 8 @ Kuala Lumpur, Bukit Bintang (Formerly known as Metropol Hotel)",Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60183242288,,https://swingandpillows.com/,2,7560,10800,Google Places
Easy Hotel KL Sentral,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60162154500,,https://easyhotel.com.my/,2,7560,10800,Google Places
Seeds Hotel Bukit Bintang,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+601118647009,,https://seedshotel.com.my/,2,7560,10800,Google Places
Astar Hotel Bukit Bintang,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+601111106665,,,2,7560,10800,Google Places
SS GREY HOTEL BUKIT BINTANG,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60128600257,,,2,7560,10800,Google Places
Hotel Damai Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+601118513288,,https://www.hoteldamaikl.com.my/,2,7560,10800,Google Places
"Kingston Hotel 3 @ Kuala Lumpur (Formerly known as Swing and Pillows @ Jalan Baba, Pudu)",Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60182852288,,http://www.swingandpillows.com/,2,7560,10800,Google Places
The Bed Bukit Bintang - Capsule Hotel,Kuala Lumpur,Kuala Lumpur,Unknown (Boutique),+60166183584,,https://www.thebedklcc.com/,2,7560,10800,Google Places
Axon Bukit Bintang,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),+60192396855,,,2,7560,10800,Google Places
"Swing & Pillows @ Imbi, Bukit Bintang",Kuala Lumpur,Bukit Bintang,Unknown (Boutique),+60183767288,,https://swingandpillows.com/,2,7560,10800,Google Places
Kingston Hotel 6 @ Changkat Bukit Bintang,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),+60182972288,,https://swingandpillows.com/,2,7560,10800,Google Places
AQ Hotel Bukit Bintang,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),+601121104443,,,2,7560,10800,Google Places
"Kingston Hotel 01 @ Bukit Bintang, Kuala Lumpur",Kuala Lumpur,Bukit Bintang,Unknown (Boutique),+60182652288,,http://www.swingandpillows.com/,2,7560,10800,Google Places
"Upstairs Downstairs Co-Living @ Bukit Bintang, KL",Kuala Lumpur,Bukit Bintang,Unknown (Boutique),+60102264293,,,2,7560,10800,Google Places
Green Town Hotel Bukit Bintang,Kuala Lumpur,Bukit Bintang,Unknown (Boutique),+60138909030,,,2,7560,10800,Google Places
Alia Premier KLCC,Kuala Lumpur,KLCC,Unknown (Boutique),+60172753124,,https://sites.google.com/view/alia-premier-klcc/home,2,7560,10800,Google Places
"Kingston Hotel 12 @ Jalan Raja Laut, KL (Formerly known as Club Dolphin Hotel)",Kuala Lumpur,KLCC,Unknown (Boutique),+60185732288,,https://www.swingandpillows.com/,2,7560,10800,Google Places
"The Bed, KLCC",Kuala Lumpur,KLCC,Unknown (Boutique),+60163553584,,https://www.thebedklcc.com/,2,7560,10800,Google Places
